Variable,No of 0s,% of 0s,No of Missing Values,% of Missing Values,Rows,No of Unique,Data Type
BureauData,6696,97%,0,0%,6896,2,int64
LoanId,0,0%,0,0%,6896,6896,int64
AccountState,0,0%,0,0%,6896,4,object
AccountSubstate,0,0%,6894,100%,6896,1,object
Product,0,0%,0,0%,6896,1,object
CreationDate,0,0%,0,0%,6896,323,object
DisbursementDate,0,0%,0,0%,6896,323,object
DisbMonth,0,0%,0,0%,6896,13,object
InitialDecision,0,0%,0,0%,6896,318,object
InitialDecisionCode,0,0%,0,0%,6896,1,object
ReasonCode_01,0,0%,6889,100%,6896,5,object
Age,1,0%,0,0%,6896,54,int64
DocumentType,0,0%,2081,30%,6896,13,object
DTI,6892,100%,0,0%,6896,5,float64
EducationStatus,0,0%,0,0%,6896,6,object
EmployerLGA,0,0%,602,10%,6896,156,object
EmployerState,0,0%,191,0%,6896,25,object
Gender,0,0%,0,0%,6896,2,object
Income,0,0%,0,0%,6896,515,float64
Industry,0,0%,0,0%,6896,37,object
LoanAmount,0,0%,0,0%,6896,161,float64
MaritalStatus,0,0%,0,0%,6896,5,object
NoChildren,3377,49%,0,0%,6896,11,int64
RepaymentBank,0,0%,0,0%,6896,13,object
RepaymentMethod,0,0%,4,0%,6896,2,object
AddresLGA,0,0%,479,10%,6896,161,object
ResidentialStatus,0,0%,73,0%,6896,7,object
Term,0,0%,0,0%,6896,2,int64
TimeEmploymentMM,194,3%,0,0%,6896,288,int64
TotalNumberAccountsInGoodStanding,10,0%,0,0%,6896,20,int64
TotalNumberOfAccounts,1,0%,0,0%,6896,20,int64
TotalMonthlyInstallments,2,0%,0,0%,6896,2,float64
TotalNumberOfAccountsInArrs,178,3%,0,0%,6896,5,int64
TotalNumberOfAccountsMoreThan90,200,3%,0,0%,6896,2,int64
HighestReportedMonthsInArrs,395,6%,0,0%,6896,2,int64
TotalNumberOfJudgments,2,0%,0,0%,6896,2,int64
TotalOutstandingDebt,199,3%,0,0%,6896,3,float64
TotalTimeAtAddress,30,0%,143,0%,6896,478,float64
WorstStatus,200,3%,0,0%,6896,2,int64
BusinessSector,0,0%,0,0%,6896,30,object
EmploymentPosition,0,0%,6476,90%,6896,8,object
GBFlag,0,0%,0,0%,6896,2,object
MaxDPD,1009,15%,1,0%,6896,317,float64
(DueDate) FPD,0,0%,1,0%,6896,328,object
FPD,0,0%,0,0%,6896,6,object
Closeddate,0,0%,726,10%,6896,368,object
MaturityDate,0,0%,1,0%,6896,357,object
EarlySettlementFlg,1441,21%,0,0%,6896,2,int64
WeekDay,0,0%,0,0%,6896,7,object
DayOfTheMonth,0,0%,0,0%,6896,31,int64
timeindayselect,0,0%,0,0%,6896,9,object
MobileNetwork,0,0%,0,0%,6896,6,object
Email,0,0%,0,0%,6896,6544,object
ClientFullName,0,0%,0,0%,6896,6525,object
FirstRD,0,0%,6011,90%,6896,295,object
CreditScore,0,0%,6896,100%,6896,0,float64
FirstDD,0,0%,0,0%,6896,329,object
Channels,0,0%,0,0%,6896,3,object
InterestRate,0,0%,0,0%,6896,1,float64
Acct_Duratn,0,0%,6090,90%,6896,239,object
clientID,0,0%,0,0%,6896,6896,object
