Variables,Categories,WOE, IV ,,,,,,EmployerLGA_Age,Categories,Woe
averageCreditgd,"[0.0, 4001.0)",0.559156519, 0.24 ,,,,,,A,"Others__(39.0, 65.0)",-0.455926515
averageCreditgd,"[12001.0, inf)",-0.899458503, 0.24 ,,,,,,,"Rivers__(39.0, 65.0]",-0.455926515
averageCreditgd,"[4001.0, 5001.0)",0.13382896, 0.24 ,,,,,,,"Rivers__(28.0, 33.0]",-0.455926515
averageCreditgd,"[5001.0, 7001.0)",0.206896935, 0.24 ,,,,,,,"Lagos Mainland__(33.0, 39.0]",-0.455926515
averageCreditgd,"[7001.0, 9001.0)",0.092447786, 0.24 ,,,,,,,,
averageCreditgd,"[9001.0, 12001.0)",-0.332037212, 0.24 ,,,,,,B,"Rivers__(33.0, 39.0]",-0.29276853
Closing_balancegd,"[-inf, 0.0)",-0.096930464, 0.07 ,,,,,,,"Lagos Island__(39.0, 65.0]",-0.29276853
Closing_balancegd,"[0.0, 3045.0)",0.283826456, 0.07 ,,,,,,,"FCT__(33.0, 39.0]",-0.29276853
Closing_balancegd,"[12718.0, 30263.0)",-0.185033924, 0.07 ,,,,,,,"Lagos Mainland__(39.0, 65.0]",-0.29276853
Closing_balancegd,"[30263.0, inf)",-0.636636468, 0.07 ,,,,,,,,
Closing_balancegd,"[3045.0, 12718.0)",0.050898783, 0.07 ,,,,,,C,"Lagos Island__(33.0, 39.0]",-0.138109591
Day_Diff_Debitgd,"[0.0, 3.0)",-0.31178563, 0.05 ,,,,,,,"FCT__(39.0, 65.0]",-0.138109591
Day_Diff_Debitgd,"[13.0, inf)",-0.133551969, 0.05 ,,,,,,,"Others__(33.0, 39.0]",-0.138109591
Day_Diff_Debitgd,"[3.0, 4.0)",0.021709206, 0.05 ,,,,,,,,
Day_Diff_Debitgd,"[4.0, 13.0)",0.203270076, 0.05 ,,,,,,D,"Others__(18.0, 28.0]",0.581592174
monthly_cash_flow_1gd,"[-70.0, 786.0)",0.44036185, 0.08 ,,,,,,,"FCT__(18.0, 28.0]",0.581592174
monthly_cash_flow_1gd,"[-inf, -70.0)",-0.042672641, 0.08 ,,,,,,,"Null__(28.0, 33.0]",0.581592174
monthly_cash_flow_1gd,"[5292.0, inf)",-0.448436864, 0.08 ,,,,,,,"Null__(18, 28.0]",0.581592174
monthly_cash_flow_1gd,"[786.0, 5292.0)",0.111340419, 0.08 ,,,,,,,,
total_cash_flowgd,"[-65.0, 1120.0)",0.462259952, 0.08 ,,,,,,E,Others,0.027360062
total_cash_flowgd,"[-6730.0, -65.0)",0.097381137, 0.08 ,,,,,,,,
total_cash_flowgd,"[-inf, -6730.0)",-0.173573868, 0.08 ,,,,,,,,
total_cash_flowgd,"[1120.0, inf)",-0.263201172, 0.08 ,,,,,,,,
Tv_freq_4gd," [0.0,  154.0)",-0.136823079, 0.06 ,,,,,,,,
Tv_freq_4gd,"[154.0, 40034.0)",0.365338305, 0.06 ,,,,,,,,
Tv_freq_4gd,"[225204.0, inf)",-0.078136129, 0.06 ,,,,,,,,
Tv_freq_4gd,"[40034.0, 225204.0)",0.546666784, 0.06 ,,,,,,,,
minimumCreditgd,"[0.0, 1.0)",-0.031407628, 0.06 ,,,,,,,,
minimumCreditgd,"[1.0, 2.0)",-0.320303211, 0.06 ,,,,,,,,
minimumCreditgd,"[189.0, inf)",-0.55140004, 0.06 ,,,,,,,,
minimumCreditgd,"[2.0, 30.0)",0.212303551, 0.06 ,,,,,,,,
minimumCreditgd,"[30.0, 189.0)",-0.120802576, 0.06 ,,,,,,,,
Cre_gr_eq_2gd,"[8.0, inf)",0.150752206, 0.03 ,,,,,,,,
Cre_gr_eq_2gd,"[1.0, 5.0)",0.047997685, 0.03 ,,,,,,,,
Cre_gr_eq_2gd,"[0.0, 1.0)",-0.389325161, 0.03 ,,,,,,,,
Cre_gr_eq_2gd,"[5.0, 6.0)",-0.280077473, 0.03 ,,,,,,,,
Cre_gr_eq_2gd,"[6.0, 8.0)",-0.095085688, 0.03 ,,,,,,,,
EmployerLGA_Agegd,A,-0.455926515, 0.11 ,,,,,,,,
EmployerLGA_Agegd,B,-0.29276853, 0.11 ,,,,,,,,
EmployerLGA_Agegd,C,-0.138109591, 0.11 ,,,,,,,,
EmployerLGA_Agegd,D,0.581592174, 0.11 ,,,,,,,,
EmployerLGA_Agegd,E,0.027360062, 0.11 ,,,,,,,,
r_avCredit_avDebitgd,"[0.0, 3.0)",0.368733894, 0.03 ,,,,,,,,
r_avCredit_avDebitgd,"[13.0, 83.0)",0.003115038, 0.03 ,,,,,,,,
r_avCredit_avDebitgd,"[181.0, inf)",-0.065232725, 0.03 ,,,,,,,,
r_avCredit_avDebitgd,"[3.0, 9.0)",0.056745702, 0.03 ,,,,,,,,
r_avCredit_avDebitgd,"[83.0, 181.0)",-0.152244102, 0.03 ,,,,,,,,
r_avCredit_avDebitgd,"[9.0, 13.0)",-0.377683865, 0.03 ,,,,,,,,
r_avNumCrW_avNumDe_Wgd,"[0.0, 0.1)",-0.009143258, 0.05 ,,,,,,,,
r_avNumCrW_avNumDe_Wgd,"[0.1, 0.2)",-0.235016388, 0.05 ,,,,,,,,
r_avNumCrW_avNumDe_Wgd,"[0.2, 0.3)",-0.109919477, 0.05 ,,,,,,,,
r_avNumCrW_avNumDe_Wgd,"[0.3, 0.4)",0.418613501, 0.05 ,,,,,,,,
r_avNumCrW_avNumDe_Wgd,"[0.4, 0.5)",0.253221007, 0.05 ,,,,,,,,
r_avNumCrW_avNumDe_Wgd,"[0.5, inf)",0.005384843, 0.05 ,,,,,,,,
avDebitAmountgd,"[4987.0,  8456.0)",-0.126642703, 0.16 ,,,,,,,,
avDebitAmountgd,"[0.0, 2586.0)",0.758970477, 0.16 ,,,,,,,,
avDebitAmountgd,"[2586.0, 3388.0)",0.370403261, 0.16 ,,,,,,,,
avDebitAmountgd,"[3388.0, 4987.0)",0.178319698, 0.16 ,,,,,,,,
avDebitAmountgd,"[8456.0, inf)",-0.496129271, 0.16 ,,,,,,,,
