,Train,Train %,Recent,Recent %,Diff,Log,PSI,sum
"(0.056, 0.22]",228,0.08110992529348986,405,0.049222168206125426,0.03188775708736443,0.49946124171421746,0.015926698750336376,0.12330038433433381
"(0.22, 0.29]",253,0.09000355745286374,529,0.06429265921244531,0.02571089824041843,0.3364037367355367,0.008649242242903896,0.12330038433433381
"(0.29, 0.34]",246,0.08751334044823907,480,0.0583373845405931,0.02917595590764597,0.4055481118967421,0.011832253831128422,0.12330038433433381
"(0.34, 0.38]",192,0.06830309498399147,450,0.05469129800680603,0.013611796977185439,0.222250469129732,0.003025228263878132,0.12330038433433381
"(0.38, 0.42]",234,0.0832443970117396,506,0.06149732620320856,0.021747070808531034,0.3027871259365517,0.006584733067653794,0.12330038433433381
"(0.42, 0.47]",277,0.09854144432586268,689,0.08373845405930967,0.014802990266553004,0.16277891503999573,0.0024096146949371153,0.12330038433433381
"(0.47, 0.51]",237,0.08431163287086446,527,0.0640495867768595,0.020262046094004962,0.2748622724600848,0.005569272034089189,0.12330038433433381
"(0.51, 0.55]",188,0.06688011383849164,635,0.07717549829849295,-0.010295384460001306,-0.1431803561964264,0.00147409681416214,0.12330038433433381
"(0.55, 0.6]",245,0.08715759516186411,760,0.09236752552260574,-0.0052099303607416325,-0.05805754286933383,0.0003024757552650012,0.12330038433433381
"(0.6, 0.66]",245,0.08715759516186411,941,0.11436558094312105,-0.027207985781256938,-0.27168224917433664,0.007391926772555256,0.12330038433433381
"(0.66, 0.73]",212,0.07541800071149057,1038,0.12615459406903257,-0.05073659335754199,-0.5144621091875056,0.02610205483170984,0.12330038433433381
"(0.73, 0.95]",254,0.0903593027392387,1268,0.1541079241614001,-0.0637486214221614,-0.5338591881123188,0.034032787275714654,0.12330038433433381
